"address","amenities","balconies","bathrooms","bedrooms","carp_area_unit","carpet_area","city_name","company_name","cov_area_unit","covered_area","currency","description","facing","floors","from_url","id","image_url","land_area_unit","landmark","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark_details/8","landmark_details/9","location","name","operating_since","owner_name","posted_date","price","price_per_sq_ft","seo_description","url"
"Mumbai, Maharashtra",,,"3","3",,"1009","Mumbai","Ashwin Sheth Group",,,"₹","Brought to you by Ashwin Sheth Group, Sheth Edmont is among the newest addresses for homebuyers. It has a variety of options to choose from that too in a varied budget range. It offers 60% - 40% unbuilt to built ratio. One of the tallest projects in Kandivali West with spacious carpet areass and 3 Deck living for extravagant lifestyle",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","79039337","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2023/11/17/Project-Photo-6-Sheth-Edmont-Mumbai-5417785_1200_1600_310_462.jpg",,,,"19201|Sunrays Shopping Center Premises","19202|St Joseph Highschool","19202|Orchids The International School (Malad)","19203|Sakuntala Nursing Home","19203|Nidhi Narsing Home","19206|Charkop Market","19206|Akruti Shopping Centre","19210|Praposed Charkop Metro Railway Station","19210|Kandivali (W) Bus Stop",,"19.2101312179652,72.8305011930765","3BHK Multistorey Apartment for New Property in Ashwin Sheth Edmont Aurelia at Kandivali West",,"Ashwin  Sheth Group","2026-02-10T17:36:23.000Z","29600000",,"The 3 BHK apartment is located in a well-connected area of Kandivali West. The flat has a prime location within Ashwin Sheth Edmont Aurelia. 1 covered parking space is provided to park your vehicle with this 3 BHK apartment.The aug '29 flat in Kandivali West is all ready for sale at the budget of ₹2.96 Cr. This flat is available for possession on Aug '29. The project features 2,3 bhk flats properties, priced across the ₹2.18 Cr - ₹4.26 Cr range. ","3-BHK-1009-Sq-ft-Multistorey-Apartment-FOR-Sale-Kandivali-West-in-Mumbai&id=4d423739303339333337"
"Mumbai, Maharashtra",,,"3","3",,"1391","Mumbai","Mumbai Realty",,,"₹","Multistorey Apartment for Sale in Worli, Mumbai. Covered area is 1391.0  Sq-ft. This property belongs to ""The Park"" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","83081067","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2026/01/16/Project-Photo-25-The-Park-Mumbai-5020929_1471_2000_310_462.jpg",,,,"19201|Aaswad Super Market","19201|Centurion","19202|Ganapatrao Kadam Marg High School Upper Worli","19202|Dy Patil Internantional School","19203|Pandit Madan Mohan Malviya Central Hospital","19203|Peoples Mobile Hospital","19206|BIg Bazaar","19206|Atria Millennium Mall","19210|Haji Usman Seth Rakhangi Chowk Bus Stop","19210|Worli Metro Station","19.0036486667054,72.8175254882335","3BHK Multistorey Apartment for New Property in Lodha The Park at Worli",,"Nitin salunkhe","2026-02-15T17:36:31.000Z","81034000",,"This 3 BHK flat is in Worli, Mumbai.This flat is situated within the renowned township of Lodha The Park. You can buy this ready to move apartment in Worli, at the price of ₹8.10 Cr. Properties in Lodha The Park come in 2,3,4 bhk flats, with prices spanning ₹4.99 Cr - ₹12.94 Cr. ","3-BHK-1391-Sq-ft-Multistorey-Apartment-FOR-Sale-Worli-in-Mumbai&id=4d423833303831303637"
"Mumbai, Maharashtra",,"1","2","2",,"844","Mumbai","Smile Homes Realty",,,"₹","Multistorey Apartment for Sale in Vikhroli, Mumbai. Covered area is 844.0  Sq-ft. This property belongs to ""Godrej Vistas"" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","83399669","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/03/18/Project-Photo-4-Godrej-Vistas-Mumbai-5419555_1658_1600_310_462.jpg",,,,"19201| Nesco It Park","19201|Godrej And Boyce Industry Estate","19202|Udayachal High School","19202|Rajarshi Sahu College Of Law","19203|Godrej Memorial Hospital","19206|R City Mall","19210|Vikhroli (E) Bus Stop","19210|Vikhroli Station Road (W) Bus Stop",,,"19.0880941406031,72.938761427755","2BHK Multistorey Apartment for New Property in Godrej Vistas at Vikhroli",,"Kishore  Sunanda","2026-02-15T17:36:31.000Z","38629000",,"This modern 2 BHK property is situated in Vikhroli, Mumbai. This unit is part of Godrej Vistas, a 2 years old development. The dec '29 flat in Vikhroli is all ready for sale at the budget of ₹3.86 Cr.Dec '29 is the possession date of this multi-storey apartment. The price of properties in Godrej Vistas varies between ₹3.60 Cr - ₹7.78 Cr, with configuration of 2,3,4 bhk flats. ","2-BHK-844-Sq-ft-Multistorey-Apartment-FOR-Sale-Vikhroli-in-Mumbai&id=4d423833333939363639"
"Mumbai, Maharashtra",,"1","2","2",,"701","Mumbai","Dream Spaces",,,"₹","Multistorey Apartment for Sale in Dahisar East, Mumbai. Covered area is 701.0  Sq-ft. This property belongs to ""Northern Hills"" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","83400305","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2025/07/28/Project-Photo-37-Northern-Hills-Mumbai-5233377_1125_2000_310_462.jpg",,,,"19201|Sunlight Shopping Centre","19202|Sanjeevani World School","19202|Universal High School","19203|Pragati Multispeciality Hospital","19203|Nihs Aroha Hospital","19206|Star Bazaar","19206|BB-THAKUR MALL","19210|Anand Nagar Metro Station","19210|Dahisar Check Naka",,"19.2530390003417,72.8684258373265","2BHK Multistorey Apartment for New Property in N Rose Northern Hills at Dahisar East",,"DREAM SPACES","2026-02-14T17:36:19.000Z","19804000",,"The 2 BHK flat is available for sale in Dahisar East, Mumbai.This flat is situated within N Rose Northern Hills. Costing ₹1.98 Cr, this dec '26 apartment in Dahisar East is a great buy. The Dec '26 is possession date. The N Rose Northern Hills price range is ₹1.82 Cr - ₹2.95 Cr, offering properties in 2,3 bhk flats layouts. ","2-BHK-701-Sq-ft-Multistorey-Apartment-FOR-Sale-Dahisar-East-in-Mumbai&id=4d423833343030333035"
"Mumbai, Maharashtra",,"1","2","2",,"701","Mumbai","Yellow spaces",,,"₹","Multistorey Apartment for Sale in Dahisar East, Mumbai. Covered area is 701.0  Sq-ft. This property belongs to ""Northern Hills"" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","83412109","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2021/11/30/Project-Photo-8-Northern-Hills-Mumbai-5233377_600_800_310_462.jpg",,,,"19201|Sunlight Shopping Centre","19202|Universal High School","19202|Universal High School Dahisar","19203|Kerala Ayuvedashram","19203|BMC Hospital","19206|Thakur Mall","19206|Thakur Mall","19210|Dahisar Check Naka","19210|Anand Nagar Metro Station",,"19.2530390003417,72.8684258373265","2BHK Multistorey Apartment for New Property in N Rose Northern Hills at Dahisar East",,"Mehul","2026-02-14T17:36:19.000Z","19804000",,"The 2 BHK apartment is located in a well-connected area of Dahisar East. This well designed apartment is located within N Rose Northern Hills. Located in Dahisar East, this dec '26 apartment is sold at price of ₹1.98 Cr.You will be able to take possession of the flat on Dec '26. Properties in N Rose Northern Hills come in 2,3 bhk flats, with prices spanning ₹1.82 Cr - ₹2.95 Cr. ","2-BHK-701-Sq-ft-Multistorey-Apartment-FOR-Sale-Dahisar-East-in-Mumbai&id=4d423833343132313039"
"Mumbai, Maharashtra",,"1","3","3",,"1429","Mumbai","Sobo Properties and Services",,,"₹","Multistorey Apartment for Sale in Bandra Kurla Complex, Mumbai. Covered area is 1429.0  Sq-ft. This property belongs to ""10 BKC"" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","83238263","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2022/08/17/Project-Photo-52-10-BKC-Mumbai-5093873_600_800_310_462.jpg",,,,"19201|Jio World Drive","19201|Bandra Kurla Complex","19202|American School Of Bombay","19202|Mount Litera School International","19203|Wockhardt Life Win","19203|Guru Nanak Hospital",,,,,"19.0626802993452,72.8650539233055","3BHK Multistorey Apartment for New Property in Radius 10 BKC at Bandra Kurla Complex",,"Piyush ","2026-02-11T17:36:24.000Z","82236000",,"This well maintained 3 BHK residence is currently offered for sale in Bandra Kurla Complex, Mumbai.It has an excellent location within Radius 10 Bkc. Located in Bandra Kurla Complex, this ready to move apartment is sold at price of ₹8.22 Cr. P51800004889 is the RERA number of the project. Properties in Radius 10 Bkc come in 1,3 bhk flats, with prices spanning ₹5.50 Cr - ₹10.72 Cr. ","3-BHK-1429-Sq-ft-Multistorey-Apartment-FOR-Sale-Bandra-Kurla-Complex-in-Mumbai&id=4d423833323338323633"
"Mumbai, Maharashtra",,,"3","3",,"1094","Mumbai","Maan Realty",,,"₹","Multistorey Apartment for Sale in Borivali East, Mumbai. Covered area is 1094.0  Sq-ft. This property belongs to ""Oberoi Sky City"" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","82936263","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2021/07/05/Project-Photo-36-Oberoi-Sky-City-Mumbai-5086084_600_800_310_462.jpg",,,,"19201|Infinity It Park","19201|Sanjay Gandhi National Park","19202|Shri Shri Ravishankar Vidya Mandir","19202|St Lawrence High School","19203|Ashtavinayak Hospital","19203|Shree Krishna Hospital","19206|The Zone Mall","19206|Thakur Mall Kandivali","19210|Borivali Sukurwadi Bus Stop","19210|Borivali Nancy Bus Stop","19.2272619069866,72.8634397272398","3BHK Multistorey Apartment for New Property in Oberoi Sky City at Borivali East",,"Pragati Gupta ","2026-02-15T17:36:31.000Z","52100000",,"Available for purchase is this beautiful 3 BHK apartment in Borivali East, Mumbai.The property is in a strategic location within Oberoi Sky City. Located in Borivali East, this ready to move apartment is sold at price of ₹5.21 Cr. This is a RERA approved project and P51800018404 is the RERA number. The project features 3 bhk flats properties, priced across the ₹4.80 Cr - ₹6.50 Cr range. ","3-BHK-1094-Sq-ft-Multistorey-Apartment-FOR-Sale-Borivali-East-in-Mumbai&id=4d423832393336323633"
"Mumbai, Maharashtra",,"2","3","3",,"1421","Mumbai","Plexus Realtors",,,"₹","Multistorey Apartment for Sale in Byculla, Mumbai. Covered area is 1421.0  Sq-ft. This property belongs to ""Piramal Aranya "" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","83071621","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2022/05/09/Project-Photo-12-Piramal-Aranya--Mumbai-5093115_600_800_310_462.jpg",,,,"19201|Veer Mata Jijabai Bhosale Udyan And Zoo","19201|World Trade Centre","19202|Antonio De Souza High School","19202|Patanwala Night High School","19203|Balaji Hospital","19203|Balaji Hospital","19210|Reay Road Railway Station Bus Stop","19210|Khadavli Railway Station",,,"18.9763051806034,72.8384452613639","3BHK Multistorey Apartment for New Property in Piramal Aranya  at Byculla",,"Plexus Realtors","2026-02-15T17:36:31.000Z","75512000",,"This 3 BHK flat is in Byculla, Mumbai.Located in Piramal Aranya , this project was built 8 years ago. This dec '27 flat in Byculla is available for a price of ₹7.55 Cr. The possession date of this apartment is Dec '27. The project is RERA approved and P51900020330 is the RERA number of the society. Properties in Piramal Aranya  are priced between ₹5.78 Cr - ₹7.55 Cr, available in 2,3 bhk flats options. ","3-BHK-1421-Sq-ft-Multistorey-Apartment-FOR-Sale-Byculla-in-Mumbai&id=4d423833303731363231"
"Mumbai, Maharashtra",,,"1","1",,"470","Mumbai","Sabnis Estate Consultants",,,"₹","Multistorey Apartment for Sale in Wadala East, Mumbai. Covered area is 470.0  Sq-ft. This property belongs to ""Dosti Eastern Bay"" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","83240199","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2021/06/28/Project-Photo-29-Dosti-Eastern-Bay-Mumbai-5193799_600_800_310_462.jpg",,,,"19202| Institute Of Chemical Technology (Ict)","19210|Wadala Bridge Monorail Station",,,,,,,,,"19.0135321429189,72.8602998056272","1BHK Multistorey Apartment for New Property in Dosti Eastern Bay at Wadala East",,"Nitin Rane","2026-02-14T17:36:19.000Z","23500000",,"1 BHK flat available for sale in Mumbai in the prime location of Wadala East.This flat is placed in a premium location within Dosti Eastern Bay. This mar '28 flat in Wadala East is available for a price of ₹2.35 Cr. Properties in Dosti Eastern Bay are priced between ₹2.35 Cr - ₹7.89 Cr, available in 1,2,3,4 bhk flats options. ","1-BHK-470-Sq-ft-Multistorey-Apartment-FOR-Sale-Wadala-East-in-Mumbai&id=4d423833323430313939"
"Mumbai, Maharashtra",,"1","2","2",,"631","Mumbai","Hitesh Estate Consultancy",,,"₹","Multistorey Apartment for Sale in Goregaon West, Mumbai. Covered area is 631.0  Sq-ft. This property belongs to ""Krishna Kunj Phase 1"" .",,,"https://www.magicbricks.com/property-for-sale/residential-commercial-agricultural-real-estate?bedroom=1,2,3,4,5,%3E5&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa,Residential-Plot,Commercial-Office-Space,Office-ITPark-SEZ,Commercial-Shop,Commercial-Showroom,Commercial-Land,Industrial-Land,Warehouse-Godown,Industrial-Building,Industrial-Shed,Agricultural-Land,Farm-House&cityName=Mumbai","83022747","https://img.staticmb.com/mbimages/project/Photo_h310_w462/2023/07/05/Project-Photo-9-Krishna-Kunj-Phase-1-Mumbai-5149803_1200_1600_310_462.jpg",,,,"19201|Gokul Super Market","19201|Bhagwati Shopping Centre","19202|St John's Universal School","19202|Vidgyor School","19203|Kapadia Multispeciality Hospital","19203|Prarthana Hospital and ICU","19206|New Star Bazar","19206|InOrbit Mall","19210|Siddharth Nagar Auto Stand","19210|Lower Malad Metro Station","19.1630920855215,72.8398088005091","2BHK Multistorey Apartment for New Property in Prince Krishna Kunj Phase 1 at Goregaon West",,"Hitesh Mehta Mehta","2026-02-14T17:36:19.000Z","17483000",,"2 BHK flat is offered for sale in Goregaon West, Mumbai.This flat is situated within Prince Krishna Kunj Phase 1. This under construction flat in Goregaon West is available for a price of ₹1.74 Cr. This flat is available for possession on Jul '26. The pricing in Prince Krishna Kunj Phase 1 varies from ₹92.8 Lac - ₹2.05 Cr, offering units in 1,2 bhk flats configurations. ","2-BHK-631-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-West-in-Mumbai&id=4d423833303232373437"
